Task, Estimated Weight, Completion Date, Assigned User(s)
Colin,,,
Create initial board class, 2, 4/8/2022, Colin
Create initial pieces on board, 2, B, Colin
Get player input, 2, B, Colin
Display board function, 2, 4/11/2022, Colin
William,,,
Code tryMove, 3, B, William
Create tryMove capture check, 2, B, William
Create tryMove double jump logic, 2, B, William
Isaiah & Grant,,,
Create B-tree move structure, 5, B, Isaiah & Grant & Colin
Create B-tree score evaluation, 3, B, Isaiah & Grant & Colin
Create B-tree MiniMax methods, 6, B, Isaiah & Grant & William & Colin
